Seed,DilutionRate,Species_ID,CUE,C_final
53,0.001,89,0.14337613937176424,1.4794486620234275e-14
53,0.001,90,0.09568621695596927,4.44519593215858e-21
53,0.001,91,0.12519195628401586,1.2433645604760728e-17
53,0.001,92,0.1603263989979534,1.2778134607226899e-11
53,0.001,93,0.08709786245545258,3.595343078447228e-21
53,0.001,94,0.14981187090308945,3.2997599939941264e-13
53,0.001,95,0.17991769417036782,1.0222670543313869e-10
53,0.001,96,0.10875161315368191,2.2987480464299677e-17
53,0.001,97,0.12755893522777528,4.922648955672482e-16
53,0.001,98,0.1069026784961856,1.7484039480075465e-19
53,0.001,99,0.13438752531439627,4.439277276622171e-16
53,0.001,100,0.17885807422072408,5.966476672510548e-11
54,0.001,1,0.2313900136256129,0.009599375524225337
54,0.001,2,0.12456244689886727,7.518296043963325e-15
54,0.001,3,0.08939954527619391,5.097801931100947e-19
54,0.001,4,0.19982217441822353,1.515662193121781e-06
54,0.001,5,0.17025627349888528,1.7549179884032647e-10
54,0.001,6,0.038459209100135235,1.519905605269149e-24
54,0.001,7,0.10784428271293528,2.780068386470531e-17
54,0.001,8,0.16951394228687647,3.23965092100625e-09
54,0.001,9,0.12393765432123507,5.105195826454139e-17
54,0.001,10,0.1656312997830808,3.1658246492592027e-10
54,0.001,11,0.0956563509549713,1.81876771276726e-18
54,0.001,12,0.16135621772530634,5.472296091091042e-11
54,0.001,13,-0.02437745763799584,4.168701682680336e-30
54,0.001,14,0.09423096393066431,1.6948217453133777e-18
54,0.001,15,0.15726684138067729,9.681579704402848e-12
54,0.001,16,0.23680420618639514,0.10439629575979219
54,0.001,17,0.2527656165624465,0.4617909688829982
54,0.001,18,0.14045260337771134,2.276806602280027e-15
54,0.001,19,0.18688119958935356,2.3551444163278627e-08
54,0.001,20,0.18760975297624866,1.9055183830023265e-08
54,0.001,21,0.07925112277898014,3.9488203841734876e-20
54,0.001,22,0.12805820297973983,1.8258695181794884e-15
54,0.001,23,0.11781959765495945,4.0783881340832906e-16
