b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.802,18,20,9,10,0.7909466894285287,0.7892621002276948,0.7933156001395644,0.8006042639128365,0.807924068503688,0.8080535940659367,0.030505523656880792,0.03129524236569621,0.03089898746768091
0.8200000000000001,16,18,8,11,0.7728492599862612,0.7661996980949922,0.7705762908737467,0.8045194409024483,0.8153776757141916,0.8153508635364104,0.030453918825205768,0.03218622612823109,0.03129218183719524
0.8380000000000001,15,15,14,17,0.7680847718913852,0.7696654788715439,0.7827544029562525,0.8116522209901,0.8126673338878808,0.813990485795872,0.0316022870909135,0.031468863297428505,0.03151236123440366
0.8560000000000001,13,14,13,17,0.8186136520457892,0.8187406606618071,0.8185182513601255,0.8198906937658546,0.8190512417633978,0.8213651790189247,0.031108648971330782,0.030990144017492557,0.03104734616672137
0.8740000000000001,12,8,12,9,0.8142558883377822,0.8161896174128433,0.8159562218144059,0.8339427281383214,0.8274847633239275,0.8337938716760794,0.03148267542022086,0.030332304368861987,0.03089968112573879
0.892,10,10,10,10,0.8365570656540764,0.8333249556989536,0.8337417516524271,0.8317279167958468,0.8292140330808225,0.8328146359545777,0.030766298126871268,0.030955174888887427,0.030843626467050068
0.91,9,9,17,10,0.8327297038355184,0.8286004591732743,0.8308416642530978,0.8395132354270132,0.8356220973916972,0.8400006359222374,0.031344586169835896,0.03168639225238913,0.031511201243795514
0.928,7,13,13,15,0.8433600814531483,0.8437625828405617,0.8429166093409896,0.8411731615202911,0.839197248583647,0.8416229468656415,0.03205148733813338,0.03146440529513026,0.03175381521482709
0.9460000000000001,5,14,10,14,0.8451043589226696,0.8530104795481304,0.8498518402429471,0.8440131014916499,0.8440360224251544,0.8472031221157722,0.03171308924598231,0.03095500286565798,0.03132691156325992
0.9640000000000001,4,9,14,11,0.8537041688765357,0.853628560044871,0.8544891895106097,0.8531826460662897,0.8471992678383229,0.8527500551457505,0.031039263998598885,0.030917303278936575,0.030966894831602462
0.9820000000000001,2,11,10,10,0.853145155574367,0.8613262819639161,0.8558959939904232,0.8543664101122359,0.8579388577906686,0.8590755005824652,0.03013500640963375,0.0312374287249656,0.030693882260301755
1.0,1,7,11,11,0.0,0.0,0.0,0.8615618402773249,0.8620293490703705,0.8633635742148357,0.031440210494051886,0.030693496646214347,0.03106101618431862
