Community,Species,Status,CUE,C_final
3,Sp93,Extinction,0.47892359750509983,4.1661514551598926e-17
3,Sp94,Extinction,0.520179063274758,2.12883206554026e-08
3,Sp95,Extinction,0.4963059218759817,2.7670823069311213e-12
3,Sp96,Extinction,0.5058079759817952,9.430319719797758e-13
3,Sp97,Survival,0.5577293616943827,0.7111616747487522
3,Sp98,Extinction,0.5119999531909091,1.3584937799352847e-10
3,Sp99,Survival,0.5550542372634962,0.011059040356157769
3,Sp100,Extinction,0.49787983699917704,1.8948703730542164e-14
3,Sp101,Extinction,0.43486631477734217,1.4298819573315993e-25
3,Sp102,Extinction,0.46712367792991105,6.40952736903864e-20
3,Sp103,Survival,0.5640659785398171,23.200612821020684
3,Sp104,Extinction,0.4891542766045046,1.867387510927665e-15
3,Sp105,Extinction,0.48532052473099374,1.582971541411524e-17
3,Sp106,Extinction,0.4842206308085495,8.88556694648049e-17
3,Sp107,Extinction,0.5123761996759931,6.267513288143781e-11
3,Sp108,Extinction,0.4970432426160544,9.447993458156748e-15
3,Sp109,Extinction,0.5272407746761484,8.926885535501169e-08
3,Sp110,Extinction,0.49942974948150354,3.656017997887178e-14
3,Sp111,Extinction,0.4957557935819724,1.2222957581674567e-14
3,Sp112,Extinction,0.5296645680408322,9.174749005003471e-07
3,Sp113,Extinction,0.5107436008442323,5.486167522555048e-12
3,Sp114,Extinction,0.5092313325150075,1.4008682056089659e-11
3,Sp115,Extinction,0.5033834319663639,3.26710331499427e-14
3,Sp116,Survival,0.5467514355287545,0.0031722695181959763
3,Sp117,Extinction,0.44159375935390455,5.247541286087089e-24
3,Sp118,Extinction,0.5188780471277276,9.669411435382891e-10
3,Sp119,Extinction,0.5003283157673971,1.4758588726072562e-13
3,Sp120,Survival,0.5410611704463608,0.0003492848447551843
3,Sp121,Extinction,0.517919214870806,8.322259220283082e-11
3,Sp122,Extinction,0.454729749655676,3.9771483331807935e-23
3,Sp123,Extinction,0.5325685012713345,5.720117151017471e-07
3,Sp124,Extinction,0.5069136342965238,8.15622581936628e-13
3,Sp125,Extinction,0.5204825321665536,3.252427495183348e-09
3,Sp126,Extinction,0.47678150829365434,1.8772310868177185e-18
3,Sp127,Extinction,0.4858323215602529,2.306154145325503e-16
3,Sp128,Extinction,0.5187657945400099,2.620522376404786e-10
3,Sp129,Extinction,0.5262077117787543,2.8031883143233723e-08
3,Sp130,Extinction,0.49461318971260787,8.570494367720122e-15
3,Sp131,Extinction,0.5285846619670547,2.073926374716147e-07
3,Sp132,Extinction,0.5304321465743279,7.696368818566384e-08
3,Sp133,Extinction,0.49920217523614674,4.0928870110952526e-14
3,Sp134,Extinction,0.5133464768468574,4.473592824741013e-11
3,Sp135,Survival,0.5441693815906352,0.00137345100521787
3,Sp136,Survival,0.5384886478192775,1.7574678364124976e-05
3,Sp137,Extinction,0.46913495288332313,7.183499968079064e-20
3,Sp138,Extinction,0.5253823742065825,2.2128667108093046e-08
3,Sp139,Extinction,0.4366754204527529,1.9341289656580162e-25
3,Sp140,Extinction,0.5018116992447084,9.844168820976279e-14
3,Sp141,Extinction,0.4914269879232069,1.3026197224102831e-15
3,Sp142,Extinction,0.5109000997267226,3.039414719203083e-11
3,Sp143,Extinction,0.5232738166676285,2.1222024130456488e-08
3,Sp144,Extinction,0.4972022822855025,2.0582806759391762e-14
3,Sp145,Survival,0.5461149533465955,0.0033900400393086436
3,Sp146,Survival,0.5394048330233704,3.087071998339516e-05
3,Sp147,Extinction,0.5182357105686705,2.452255048083763e-10
3,Sp148,Extinction,0.5254757471283649,2.7843443011851426e-08
3,Sp149,Extinction,0.4551882788545083,1.3292976267908817e-22
3,Sp150,Extinction,0.505900166477858,1.0005843335441338e-11
3,Sp151,Extinction,0.4961096358224452,1.375021989906072e-15
3,Sp152,Extinction,0.5365308861024853,2.3763044784626985e-06
3,Sp153,Extinction,0.4755019980997045,1.5173414603004215e-19
3,Sp154,Extinction,0.5201712469412874,2.446159957359296e-09
3,Sp155,Extinction,0.46705161117401245,2.5836783580718137e-20
3,Sp156,Survival,0.5580578827854166,4.143899317284968
3,Sp157,Extinction,0.52159890032401,2.7015196006448277e-08
