b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.5860000000000001,33,21,17,19,0.6455219249606629,0.635221484480565,0.6392230307261865,0.6553435383283115,0.6581726354442959,0.659392443086557,0.03170780766956547,0.03230830125696956,0.0320263307699977
0.604,32,16,16,16,0.6475473498978503,0.6670364189415869,0.6622336370391245,0.674342462626623,0.6688668977466455,0.674584141008692,0.031173462950172464,0.03055833442501921,0.030883526345154434
0.622,31,13,17,19,0.6784409180340506,0.6721449007614568,0.683849884413023,0.6771320858317478,0.6779250837852764,0.6803316267867876,0.03213848218079079,0.030986915531165442,0.03152841956689722
0.64,30,15,15,20,0.7004488620808733,0.6887358314780824,0.7009270809016944,0.6878567829449234,0.6889535541257994,0.6899524121804609,0.030380497787463105,0.03260661224586263,0.03146218761989123
0.658,28,14,10,18,0.7449411056505806,0.7476055694935932,0.7454559049005596,0.6940552748541515,0.6978739716061303,0.696830472793901,0.029968247239338046,0.030707328388435345,0.03034693231581989
0.676,27,13,16,18,0.7531615618935332,0.7626765509274082,0.7590844991575643,0.7024350044766692,0.7014900298057727,0.7033653649482801,0.031589957847372174,0.030749237370801364,0.031146258476130156
0.6940000000000001,26,17,16,16,0.7732418149833764,0.7629141780511708,0.7750157552481154,0.7094342226094211,0.7130700919051699,0.7145994268216215,0.0313806252496384,0.03111628820039027,0.031246896047426986
0.7120000000000001,25,12,12,14,0.7963226298853368,0.7908769816529011,0.7935328966224178,0.7241489618224171,0.7222787094707491,0.7253091743649179,0.030653315632582372,0.030866494647220737,0.03074172501249336
0.7300000000000001,23,13,19,20,0.6418056836254628,0.6397256438839648,0.642532451986195,0.7264725022700154,0.7275579442093693,0.7302313996684184,0.030938034603773458,0.03250752425064973,0.031731557799130866
0.7480000000000001,22,7,11,11,0.6611750879175977,0.6746020692318299,0.6736946088095944,0.7505120987537035,0.7376579882679962,0.7492449683744122,0.03124676932281678,0.030645682154606193,0.03095141654150193
0.766,21,14,10,14,0.7082020494521676,0.7063928459023918,0.7029651432328843,0.7469071440161049,0.7462429701338099,0.7493371434279864,0.032436408101643166,0.03133892229773663,0.031899082629320966
0.784,19,17,11,15,0.7567413646354614,0.7561491118559219,0.759236791661253,0.7571879027289447,0.7577622854779245,0.7588008784224983,0.031696619274582165,0.031644878456661155,0.0316910901883935
0.802,18,20,9,11,0.7909466894285286,0.7892621002276947,0.7933156001395641,0.7609930263069641,0.7683392322944327,0.768467626253147,0.030505523656880792,0.03129524236569621,0.03089898746768091
0.8200000000000001,16,18,8,9,0.7728492599862611,0.7661996980949922,0.7705762908737468,0.768514775226585,0.7793930216233895,0.7793536675695408,0.030453918825205768,0.03218622612823109,0.03129218183719524
0.8380000000000001,15,15,14,17,0.7680847718913852,0.7696654788715439,0.7827544029562523,0.7792442988757851,0.7803041321676902,0.78158992046624,0.0316022870909135,0.031468863297428505,0.03151236123440366
0.8560000000000001,13,14,13,17,0.8186136520457892,0.818740660661807,0.8185182513601253,0.7910862969675071,0.7902499696730915,0.7925820908978671,0.031108648971330782,0.030990144017492557,0.03104734616672137
0.8740000000000001,12,8,12,9,0.8142558883377821,0.8161896174128435,0.8159562218144059,0.8087607644879408,0.8023116092795003,0.8086199285782042,0.03148267542022086,0.030332304368861987,0.03089968112573879
0.892,10,10,10,10,0.8365570656540766,0.8333249556989536,0.8337417516524271,0.8101271221620138,0.8076056670822706,0.8112142387471973,0.030766298126871268,0.030955174888887427,0.030843626467050068
0.91,9,9,17,10,0.8327297038355184,0.8286004591732742,0.8308416642530981,0.8215313898308602,0.8176216329721914,0.8219981842262434,0.031344586169835896,0.03168639225238913,0.031511201243795514
0.928,7,13,13,15,0.8433600814531486,0.8437625828405616,0.8429166093409893,0.82678004974411,0.8247977929038072,0.8272213390196085,0.03205148733813338,0.03146440529513026,0.03175381521482709
0.9460000000000001,5,14,10,14,0.8451043589226694,0.8530104795481305,0.849851840242947,0.8332085366340002,0.8332336224243807,0.8364039651382686,0.03171308924598231,0.03095500286565798,0.03132691156325992
0.9640000000000001,4,9,14,11,0.8537041688765357,0.8536285600448711,0.8544891895106097,0.8459804855752,0.8400021155983065,0.8455502996551015,0.031039263998598885,0.030917303278936575,0.030966894831602462
0.9820000000000001,2,11,10,10,0.853145155574367,0.8613262819639159,0.8558959939904227,0.8507655232325547,0.8543381739813208,0.8554769925608158,0.03013500640963375,0.0312374287249656,0.030693882260301755
1.0,1,7,11,11,0.0,0.0,0.0,0.8615618402773249,0.8620293490703705,0.8633635742148357,0.031440210494051886,0.030693496646214347,0.03106101618431862
