b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
0.676,27,13,11,14,0.7921167090438676,0.7823365306499848,0.7872520877810516,0.27243821492533854,0.24721873203769149,0.27926102347035386,0.634407212575831,0.6205696772996698,0.6276088285833208
0.6940000000000001,26,13,12,16,0.7990049968261654,0.801531650926053,0.8002791805399713,0.2332733088754669,0.27493616844107954,0.2762323854646358,0.6473683316168721,0.6510603853706064,0.648749678737035
0.7120000000000001,25,13,16,16,0.7942325174180198,0.803848099223192,0.7990389408750304,0.2539927746166468,0.24147577534696157,0.2564441422372881,0.6363080503905303,0.6519802959860569,0.6449108847935116
0.7300000000000001,23,17,21,22,0.7969201662720194,0.8058403576625691,0.8014104405268904,0.26012504848475715,0.22977439632505411,0.25900800565720233,0.6420253551666156,0.6557316671830565,0.649088192839703
0.7480000000000001,22,18,17,19,0.8044768132240623,0.807982679894551,0.8062648791313594,0.24681592151323392,0.24559277216745076,0.25262531880343464,0.6550662791059536,0.6596185642658318,0.6568291034865608
0.766,21,17,15,17,0.8080375005298864,0.8040311284087025,0.8060999782755428,0.2265369297722455,0.2790014208984087,0.26932557462453427,0.6591288062158976,0.6533423472816574,0.6565246971522051
0.784,19,13,15,15,0.8149209048246996,0.8115060180455466,0.8131570434905194,0.25375779033078594,0.2519813542003818,0.2584296759833486,0.6710765409469656,0.666146885977174,0.6682182417964182
0.802,18,12,12,17,0.8142771989875766,0.8113674836614085,0.8128038546438195,0.26195472946203574,0.29328949844042546,0.3020196686135855,0.6706282905850782,0.6642567673401006,0.667259671532815
0.8200000000000001,16,13,13,12,0.8201084391539556,0.8190216560752724,0.8195984883686377,0.28850985508519256,0.2734891005671151,0.2868534751894287,0.6804936657915817,0.6766456542140105,0.6783452431131478
0.8380000000000001,15,12,17,16,0.8251575042200543,0.8187829223063239,0.8219902183645861,0.2579223590841436,0.27792123425316534,0.28467122556392377,0.687496862023372,0.6768742712196448,0.6819424308855351
0.8560000000000001,13,13,11,10,0.8261883862351422,0.8256745197488936,0.8259072705166549,0.2895343745671536,0.28729296545944943,0.30108717775492483,0.6896380730089112,0.687854788491422,0.6886437444884423
0.8740000000000001,12,17,16,11,0.8297910502679492,0.8317199054432578,0.8307104940507891,0.27588494404781244,0.2521011528517217,0.2780560395364639,0.6958390007641817,0.6981875918313974,0.6968004368917297
0.892,10,13,11,12,0.8348284870339582,0.8323625908375084,0.8335698965777647,0.27647552277675924,0.2997411343975361,0.3006233767644603,0.703163464850716,0.6983916005732081,0.700897496961241
0.91,9,13,12,15,0.8444647237071875,0.8416570980452662,0.8430222464768894,0.26992640406514323,0.27238585251778713,0.27821628260054876,0.719661243860352,0.7159683069140141,0.7170523672384316
0.928,7,8,12,10,0.8480660975638641,0.8460962879816968,0.8470667128359793,0.3083409360293818,0.2729168244859793,0.3072876926141117,0.7251481122439831,0.7222330640497575,0.7237224921641436
0.9460000000000001,5,12,8,11,0.8487669434832295,0.8499405256522188,0.8493289747472188,0.3138258964014486,0.2974054608054674,0.3167230990607004,0.7261990283779844,0.7283829387107209,0.7275407930974622
0.9640000000000001,4,11,13,14,0.8568260665051962,0.8582524344505179,0.857525220720034,0.29556809113703203,0.29345565656929207,0.2966922211140056,0.740508507903831,0.7428447472868576,0.741860903607713
0.9820000000000001,2,16,16,19,0.8611659931175045,0.8552692182450791,0.8581820884889488,0.27445320325462297,0.2799667981038028,0.2833169981877371,0.7477168152575956,0.7372616406802228,0.7428259987497426
1.0,1,9,7,6,0.0,0.0,0.0,0.31010668418482745,0.30919637430213726,0.31991438476559,0.7544432750120796,0.7453453436402249,0.7499185222491344
