N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
34,100,100,200,0.5818280858289341,0.5860594576125943,0.5843697595166245,0.5998950497804004,0.5998278066184078,0.59986142819958,0.37917871930366054,0.3862554449461001,0.38470247665129836
35,100,67,167,0.5955647117340186,0.5786999492625993,0.5876327257576204,0.6012400142751495,0.6001625497077004,0.6007012957106066,0.3962252039815166,0.37815031840928076,0.3887521362530692
36,99,100,199,0.6147631656522863,0.6006254014427234,0.6081141851345067,0.599641978108859,0.5999118675274119,0.5997769228141608,0.42030633898675146,0.4030437867538291,0.41332033281518143
37,100,98,198,0.6179251808228272,0.6086269876001796,0.6135882820715097,0.6000517673815867,0.6010900165501167,0.60057089192731,0.42355041802403,0.4079952544183401,0.4173741480007785
38,100,99,199,0.5912202564655079,0.6033603798220196,0.5978999176323536,0.5996846643951756,0.5994571993008354,0.599570931846775,0.39369150542534437,0.40825579530155803,0.4029335652482877
39,100,100,200,0.5841315631422176,0.5796906349914829,0.5823977310044456,0.6000149740097864,0.5987762499824932,0.5993956120004161,0.3826927773391605,0.3787153290040959,0.3827993972025561
40,94,100,194,0.6018088242845101,0.6203307914421946,0.6112353140382981,0.5990558793593099,0.6006495650087684,0.5998527226878312,0.3998883003399723,0.4240649239182909,0.4134929607708105
41,100,100,200,0.6077316374321875,0.6072642845814588,0.6080793589383393,0.6004777122781877,0.5996216450431122,0.6000496786490433,0.4059354218594935,0.4090479876854805,0.4096374040008134
42,100,100,200,0.6133055908294305,0.6215099017115322,0.61757739367525,0.6005170218477516,0.6001953375631452,0.6003561797010247,0.4115490561205557,0.423783691044232,0.4191912137604904
43,100,100,200,0.6008701061684567,0.6231135502217168,0.6123936760899954,0.6000458307069406,0.5995121289006933,0.5997789798124525,0.40045258088861885,0.4300409476797437,0.4168090011914999
44,100,100,200,0.6204137893116787,0.6350515103473676,0.6280812992857271,0.599504937469147,0.600467241095177,0.5999860892837641,0.42127533749273455,0.439713934885033,0.4324382913308541
45,100,100,200,0.6075133304201055,0.5945930499449386,0.6014684086352337,0.5988562579039278,0.601382658875406,0.6001194584220914,0.4078866707734164,0.38825738209715555,0.3997310881627194
46,100,100,200,0.6517570710106528,0.6161459682886131,0.6341551727095914,0.60063222785645,0.6003279349309579,0.600480081390711,0.45857123092665936,0.4159674910997731,0.43857888133414297
47,100,100,200,0.6228158691279432,0.6474860295988976,0.6353276321177073,0.6005601823934563,0.6004441830929543,0.6005021827456198,0.4224948992484956,0.4538644037093758,0.43950740182277165
48,100,100,200,0.6312347459652828,0.630784000731834,0.6315309772273336,0.59982509130391,0.6000141494643063,0.599919620384086,0.4307575311980599,0.43309170544868103,0.43417660197878616
49,100,100,200,0.6237493484657304,0.6441622197627498,0.6344837052671567,0.5998379665113316,0.5994225844680883,0.5996302754827585,0.4234675727041516,0.4508576421136095,0.4389660080322157
50,100,88,188,0.6382960417186516,0.6387254349008171,0.6387803704322856,0.6005655539828804,0.5996489389212454,0.6001072469601557,0.4407428169472998,0.44208958681360827,0.44313049291397616
